dataset,method,advanced_task,cache_policy,cache_nodes,L,beamwidth,threads,recall_at_10,qps,mean_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_ios,mean_io_us,io_time_ratio_pct,non_io_us,non_io_time_ratio_pct,max_rss_mb,index_size_mb,cache_size_mb,trace_queries,eval_queries,log,git_commit,notes
sift1m,static_bfs,T3_baseline,bfs,0,120,4,4,0.9861,341.61,11622.32,,,19779.0,134.75,10840.31,93.27,782.01,6.73,0,822.37,0.0,200,800,static_bfs_K0_L120.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,0,40,4,4,0.9384999999999999,822.86,4814.35,,,9091.0,57.47,4511.14,93.7,303.21,6.3,0,822.37,0.0,200,800,static_bfs_K0_L40.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,0,80,4,4,0.9762000000000001,497.18,7977.7,,,12246.0,95.6,7450.43,93.39,527.27,6.61,0,822.37,0.0,200,800,static_bfs_K0_L80.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,10000,120,4,4,0.9861,403.28,9842.68,,,12619.0,123.8,9130.39,92.76,712.29,7.24,0,822.37,7.32,200,800,static_bfs_K10000_L120.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,10000,40,4,4,0.9384999999999999,1016.69,3888.18,,,6156.0,46.91,3595.29,92.47,292.89,7.53,0,822.37,7.32,200,800,static_bfs_K10000_L40.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,10000,80,4,4,0.9762000000000001,567.32,6986.69,,,9925.0,84.84,6476.08,92.69,510.61,7.31,0,822.37,7.32,200,800,static_bfs_K10000_L80.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,1000,120,4,4,0.9861,391.57,10147.01,,,14389.0,125.72,9446.82,93.1,700.19,6.9,0,822.37,0.73,200,800,static_bfs_K1000_L120.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,1000,40,4,4,0.9384999999999999,1023.96,3864.83,,,6103.0,48.46,3595.32,93.03,269.51,6.97,0,822.37,0.73,200,800,static_bfs_K1000_L40.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,1000,80,4,4,0.9762000000000001,576.74,6874.02,,,9124.0,86.59,6414.97,93.32,459.05,6.68,0,822.37,0.73,200,800,static_bfs_K1000_L80.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,3000,120,4,4,0.9861,394.11,10075.08,,,13388.0,125.41,9358.43,92.89,716.65,7.11,0,822.37,2.2,200,800,static_bfs_K3000_L120.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,3000,40,4,4,0.9384999999999999,1014.16,3904.05,,,10009.0,48.21,3635.23,93.11,268.82,6.89,0,822.37,2.2,200,800,static_bfs_K3000_L40.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,3000,80,4,4,0.9762000000000001,552.83,7170.87,,,12913.0,86.3,6661.61,92.9,509.26,7.1,0,822.37,2.2,200,800,static_bfs_K3000_L80.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,5000,120,4,4,0.9861,399.05,9950.31,,,16009.0,124.99,9301.19,93.48,649.12,6.52,0,822.37,3.66,200,800,static_bfs_K5000_L120.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,5000,40,4,4,0.9384999999999999,1037.29,3812.61,,,6287.0,47.86,3554.91,93.24,257.7,6.76,0,822.37,3.66,200,800,static_bfs_K5000_L40.log,78256bba,
sift1m,static_bfs,T3_baseline,bfs,5000,80,4,4,0.9762000000000001,573.54,6916.42,,,11628.0,85.92,6432.45,93.0,483.97,7.0,0,822.37,3.66,200,800,static_bfs_K5000_L80.log,78256bba,
